file,method,psnr
1.bmp,lsb,75.292
1.bmp,adaptive,75.283
10.bmp,lsb,75.531
10.bmp,adaptive,75.123
100.bmp,lsb,75.353
100.bmp,adaptive,75.397
1000.bmp,lsb,75.156
1000.bmp,adaptive,75.37
101.bmp,lsb,75.258
101.bmp,adaptive,75.405
102.bmp,lsb,75.353
102.bmp,adaptive,75.041
103.bmp,lsb,75.441
103.bmp,adaptive,75.258
104.bmp,lsb,75.441
104.bmp,adaptive,75.165
105.bmp,lsb,75.459
105.bmp,adaptive,75.292
106.bmp,lsb,75.388
106.bmp,adaptive,75.37
107.bmp,lsb,75.275
107.bmp,adaptive,75.327
108.bmp,lsb,75.459
108.bmp,adaptive,75.258
109.bmp,lsb,75.344
109.bmp,adaptive,75.486
11.bmp,lsb,75.54
11.bmp,adaptive,75.249
110.bmp,lsb,75.45
110.bmp,adaptive,75.258
111.bmp,lsb,75.275
111.bmp,adaptive,75.577
112.bmp,lsb,75.266
112.bmp,adaptive,75.477
113.bmp,lsb,75.292
113.bmp,adaptive,75.131
114.bmp,lsb,75.423
114.bmp,adaptive,75.292
115.bmp,lsb,75.353
115.bmp,adaptive,75.275
116.bmp,lsb,75.309
116.bmp,adaptive,75.275
117.bmp,lsb,75.241
117.bmp,adaptive,75.224
118.bmp,lsb,75.148
118.bmp,adaptive,75.468
119.bmp,lsb,75.224
119.bmp,adaptive,75.123
12.bmp,lsb,75.292
12.bmp,adaptive,75.318
120.bmp,lsb,75.388
120.bmp,adaptive,75.165
121.bmp,lsb,75.531
121.bmp,adaptive,75.558
122.bmp,lsb,75.041
122.bmp,adaptive,75.301
123.bmp,lsb,75.414
123.bmp,adaptive,75.318
124.bmp,lsb,75.275
124.bmp,adaptive,75.459
125.bmp,lsb,75.318
125.bmp,adaptive,75.568
126.bmp,lsb,75.388
126.bmp,adaptive,75.344
127.bmp,lsb,75.224
127.bmp,adaptive,75.327
128.bmp,lsb,75.388
128.bmp,adaptive,75.531
129.bmp,lsb,75.397
129.bmp,adaptive,75.318
13.bmp,lsb,75.513
13.bmp,adaptive,75.215
130.bmp,lsb,75.486
130.bmp,adaptive,75.468
131.bmp,lsb,75.139
131.bmp,adaptive,75.198
132.bmp,lsb,75.388
132.bmp,adaptive,75.131
133.bmp,lsb,74.976
133.bmp,adaptive,75.131
134.bmp,lsb,75.335
134.bmp,adaptive,75.224
135.bmp,lsb,75.327
135.bmp,adaptive,75.215
136.bmp,lsb,75.344
136.bmp,adaptive,75.513
137.bmp,lsb,75.318
137.bmp,adaptive,75.292
138.bmp,lsb,75.558
138.bmp,adaptive,75.477
139.bmp,lsb,75.309
139.bmp,adaptive,75.148
14.bmp,lsb,75.45
14.bmp,adaptive,75.459
140.bmp,lsb,75.423
140.bmp,adaptive,75.215
141.bmp,lsb,75.353
141.bmp,adaptive,75.241
142.bmp,lsb,75.379
142.bmp,adaptive,75.335
143.bmp,lsb,75.275
143.bmp,adaptive,75.344
144.bmp,lsb,75.249
144.bmp,adaptive,75.495
145.bmp,lsb,75.344
145.bmp,adaptive,75.275
146.bmp,lsb,75.495
146.bmp,adaptive,75.414
147.bmp,lsb,75.215
147.bmp,adaptive,75.241
148.bmp,lsb,75.361
148.bmp,adaptive,75.292
149.bmp,lsb,75.241
149.bmp,adaptive,75.361
15.bmp,lsb,75.139
15.bmp,adaptive,75.275
150.bmp,lsb,75.45
150.bmp,adaptive,75.344
151.bmp,lsb,75.344
151.bmp,adaptive,75.232
152.bmp,lsb,75.283
152.bmp,adaptive,75.568
153.bmp,lsb,75.37
153.bmp,adaptive,75.318
154.bmp,lsb,75.495
154.bmp,adaptive,75.318
155.bmp,lsb,75.353
155.bmp,adaptive,75.45
156.bmp,lsb,75.335
156.bmp,adaptive,75.54
157.bmp,lsb,75.173
157.bmp,adaptive,75.224
158.bmp,lsb,75.468
158.bmp,adaptive,75.477
159.bmp,lsb,75.353
159.bmp,adaptive,75.198
16.bmp,lsb,75.353
16.bmp,adaptive,75.477
160.bmp,lsb,75.414
160.bmp,adaptive,75.327
161.bmp,lsb,75.09
161.bmp,adaptive,75.249
162.bmp,lsb,75.249
162.bmp,adaptive,75.459
163.bmp,lsb,75.115
163.bmp,adaptive,75.232
164.bmp,lsb,75.131
164.bmp,adaptive,75.335
